,Name,Style,ABV,IBU,Rating,Description
3686,Salvaje Cero Coma,Sin Alcohol,0.5,30.0,,"Salvaje Cero Coma
Empujados por nuestra curiosidad pero sobre todo por nuestros clientes, hemos lanzado al mercado nuestra primera Sin. Una fermentación extremadamente leve la dejan con tan solo 0,5 % de alcohol y hemos querido que sea una Sin que se salga de sus parámetros aromáticos norma ..."
3687,Cotoya  d’iviernu 2015,Belgian Strong Ale,10.5,,,"Cotoya d’iviernu
2015 Monsacru 1057m"
3688,Cotoya de Branu,Witbier,4.8,,3.49,"Cotoya de Branu
Cerveza de trigu, coriandru y llima"
3689,Cotoya Toxu,American Pale Ale,5.2,,3.34,"Cotoya Toxu
APA de llúpulu 100% asturianu, variedades Nugget, Fuggles y Cascade.Fecha por Cerveza Cotoya en Villanueva, Santu Adrianu, Asturies."
3690,Cotoya Antípodas NZ Wakatu IPA,India Pale Ale,6.3,78.0,3.74,"Cotoya Antípodas NZ Wakatu IPA
 "
3691,Fumu de Cotoya,Smoke Flavored and Wood Aged Beer,6.0,,,"Fumu de Cotoya
Cerveza de malta afumiada a l´estilu de Bamberg."
3692,Medina Gringaza,American Pale Ale,5.0,30.0,3.62,"Medina Gringaza
Evolución de las Gringaza 30 y 50"
3693,Medina La Vieja,Blonde Ale,5.0,20.0,,"Medina La Vieja
Rewis, La Vieja, Noblejas Golden Ale"
3694,Medina Barrica,Belgian Strong Ale,8.6,30.0,3.36,"Medina Barrica
Belgian Strong Ale"
3695,Medina Summer Tales,Witbier,5.6,35.0,,"Medina Summer Tales
Hoppy Wit"
3696,Edge Brewing Sangría Sour,Fruit Beer,6.5,3.0,3.35,"Edge Brewing Sangría Sour
This special beer was a year in the making. After many trials, we selected a very unique souring strain from our secret bodega located here at Edge. We then utilize an intense double fermentation process to sour then to ferment the beer with summer fruits to create t ..."
3697,Nómada Imperial Stout Gianduja,Imperial Stout,10.5,,,"Nómada Imperial Stout Gianduja
Imperial Stout
Cerveza de alta intensidad de nuestra línea experimental. Intenso recorrido por los aromas torrefactos, desde café a pan quemado, que se suavizan y combinan con la gianduja."
3698,Nómada Imperial Coco Stout,Imperial Stout,10.5,50.0,4.03,"Nómada Imperial Coco Stout
Imperial Stout
Cerveza de alta intensidad de nuestra línea experimental. Es un intenso recorrido por los aromas torrefactos, desde café a pan quemado, que se suavizan con el coco."
3699,Nómada Papaya Rye,Imperial IPA,9.0,72.0,3.79,"Nómada Papaya Double Rye IPA
Es una bomba de fruta, lúpulo y centeno. Con más de 9% de alcohol y lupulizada de forma extrema, el centeno y la papaya son capaces de redondear el conjunto. Intensa, extrema y bebible a partes iguales.
Aspecto turbio y de color ambarino. Desde lejos se huele e ..."
3700,Nómada Bosque en Llamas,No Definido,9.0,,,"Nómada Bosque en Llamas
Grodzisz
Nuestra cerveza de otoño, tostada con malta ahumada y resina de pino. Cuerpo y carácter que no deja indiferente a nadie. Un incendio dentro de la botella.
Grodziskie,Grätzer o Grodzisz es un histórico estilo de cerveza polaca de fondo ahumado elaborada c ..."
3701,Nómada Marabunta,Imperial IPA,7.5,60.0,3.74,"Nómada Marabunta
Cerveza extremadamente lupulizada, rubia, aromática y obscenamente amarga. Un zumo de lúpulo, ligero, fresco y seco. Su lupulización masiva recuerda la migración de hormigas nómadas. ¡Que viene la marabunta!
De color oro pálido y espuma blanca y bien estructurada. En  ..."
3702,Lupulina Cervesa de Collita 2016 Cascade,India Pale Ale,4.5,,,"Lupulina Cervesa de Collita 2016 Cascade
Session IPA monovarietal de lúpulo fresco Cascade producido en Cataluña por Lupulina"
3703,Lupulina Cervesa de Collita 2016 Chinook,American IPA,7.1,,,"Lupulina Cervesa de Collita 2016 Chinook
Monovarietal de lúpulo Chinook fesco producido en Cataluña por Lupulina"
3704,Jakobsland Fix For the Fits,Imperial IPA,9.0,100.0,3.9,"Fix For the Fits
Imperial IPA
¿no puedes conseguir tu dosis? Tenemos la solucion. Esta doble ipa contiene enormes cantidades de 5 tipos diferentes de lúpulo. Piensa en ella como tu propia reserva para cuando tengas mono de lúpulo.
Maridaje: Fabes con almejas. Tarta tatin.
Can’t get enough  ..."
3705,Jakobsland Kaleidoscope Galangal Membrillo Saison,Saison,7.1,34.0,,"Kaleidoscope Galangal Membrillo Saison
Como un enjambre de mariposas en primavera que alzan el vuelo. El animado y colorido aroma de esta cerveza dorada se eleva desde el vaso. Lleno de frutas y especias, esta cerveza farmhouse única te sorprendera y te vigorizara. También te recomendamos gua ..."
3706,Jakobsland Dumbstruck Super Citra Ale,American Pale Ale,6.3,60.0,3.73,"Dumbstruck Super Citra Ale
¿Notas las frutas tropicales en su interior? Sorprenoentemente esto es solo puro lúpulo citra no aoulterado. Formulado sobre una base suavemente maltosa de la oue resulta su tonalioad color de melocoton. Introdujimos el lúpulo citra en cada momento posible durante  ..."
3707,La Txika de la Cerveza Bizi Bizi,American Brown Ale,5.3,34.0,3.43,"Bizi Bizi
Las maltas caramelo proporcionan sabores a galleta, toffee, equilibrado con el amargor de los lúpulos americanos."
3708,Jakobsland Lemon Luisa Witbier,Witbier,5.1,19.0,3.11,"Lemon Luisa Witbier
Nacida de una sesión casera de brewing para revelar a dos novatos los secretos del oficio. Hemos disfrutado tanto de esta fresca aromatizada witbier que decidimos compartirla con el resto de vosotros. Disfruta esta ligera y refrescante mezcla de hierbas y especias sobre una ..."
3709,Garage Beer Co Offload,India Pale Ale,5.7,,3.81,"Garage Beer Co Off_load
Session IPA"
3710,Garage Beer Co Factory Reset,Sweet Stout,7.0,,,"Garage Beer Co Factory Reset
Chocolate Stout"
3711,Titan Craft Beer / Sesma Brewing / Falken Brewing East Coast Riders,American IPA,6.0,80.0,,East Coast Riders
3712,Titan Craft Beer / Sesma Brewing / Falken Brewing Gose Bastards,Imperial Stout,10.0,60.0,,"Gose Bastards
Imperial Gose Stout
Gose Bastards es un experimento cervecero donde cruzamos conceptos organolépticos que se suman y potencian: Sobre la base de una sólida Imperial Stout con cierto toque ahumado y un amargor bajo, potenciamos las notas a chocolate y cacao mediante un toque de ..."
3713,Keltius In Peccatum / Frontaal Doce Amencer & Gerookte Zonsondergang,Smoke Flavored and Wood Aged Beer,9.5,40.0,,"Keltius In Peccatum / Frontaal Doce Amencer & Gerookte Zonsondergang
Smoked Barleywine
Colaboración internacional con Brouwerij Frontaal. Smoked barleywine de 9,5%"
3714,Keltius In Peccatum Los Suaves El Último Trago,Black IPA,5.0,40.0,,"Keltius In Peccatum Los Suaves El Último Trago
Session Black IPA
Edición limitada de 3000 uds. Esta edición especial ha sido lanzada con motivo de la retirada de los escenarios de la mítica banda de rock ourensana Los Suaves. La etiqueta ha sido diseñada por el propio cantante del grupo, ..."
3715,Keltius In Peccatum Los Suaves La Última Canción,India Pale Ale,5.0,40.0,,"Keltius In Peccatum Los Suaves La Última Canción
Session IPA
Edición limitada de 3000 uds. Esta edición especial ha sido lanzada con motivo de la retirada de los escenarios de la mítica banda de rock ourensana Los Suaves. La etiqueta ha sido diseñada por el propio cantante del grupo, Yosi."
3716,X’P Brewers Torrada,American Amber Ale,6.0,28.0,2.96,"X’P Brewers Torrada
El regust de les amber pale ale americanes, llúpols americans donen les notes d’aquesta cervesa, dolça suau però amb cos i molta personalitat, feta amb maltes centre europees, la malta caramel li dóna un toc especial. Alc 6% i 28 ibus, amargor 1a justa i un punt dol ..."
3717,X’P Brewers Stout,Stout,5.5,34.0,2.98,"X’P Brewers Stout
Conté maltes angleses i maltes torrades i un toc de malta xocolat i amb un grapat d’espècies que tornen aquesta írlandesa al gust plenament mediterrani, amb cos però sense l’aspror de les Stout del nord, se li poden trobar notes de cafè i regalèssia.
------------ ..."
3718,X’P Brewers IPA,India Pale Ale,6.5,60.0,3.19,"X’P Brewers IPA
Amb maltes angleses i una acurada combinació de delicades maltes alemanyes i llúpols americans, fem aquesta jove, fresca i molt aromàtica, afruitada i cítrica. Indian Pale Ale, amb notes de mandarina, pomelo i fruits tropicals...Amb un potent retrogust agradable i persist ..."
3719,Moritz Blat,Weizen-Weissbier,5.8,12.0,,"Moritz Blat
Una cerveza refrescante, elaborada con levadura de masa madre de pan de Triticum, los panaderos de alta gastronomía de Barcelona.
Turbia, servida sin filtrar y sin pasteurizar.
 "
3720,Moritz Red IPA,India Pale Ale,5.4,50.0,2.99,"Moritz Red IPA
Una cerveza Ale que juega con la sofisticación del lúpulo y que fue la primera Moritz de alta fermentación. De un color tostado con toques de rubí y espuma espesa, la Moritz Red Ipa es aromática y afrutada, con notas de caramelo, regaliz, café y frutos secos. Una combin ..."
3721,Moritz Negra,Porter,5.0,25.0,3.18,"Moritz Negra
Cerveza Porter con un 5% de alcohol, de color negro intenso y sin filtrar con ligeros toques de fruta amarilla madura. Su color negro intenso se debe a las maltas y la cebada torrefactas. Con una espuma densa, fina y adherente, permite gozar del aroma tostado que traslada al mundo ..."
3722,Badúm Lola,Cream Ale,4.3,,2.89,"Badúm Lola
Una cerveza suave de color amarillo pajizo turbio. Presenta aromas tostados y en boca es ligera, baja de amragor, suave y agradable.​
 "
3723,Castua La Niña del Farol,American Pale Ale,5.9,76.0,,"Castua La Niña del Farol
Cerveza artesana sin filtrar ni pasteurizar, cerveza muy refrescante y lupulada. El suave gusto afrutado de ale claras de Inglaterra combinado con el poderoso aroma floral y de cítricos, resultado de lúpulos de America del Norte, especialmente Cascade."
3724,Virtus Black Virtus Bourbon Milk Stout,Sweet Stout,5.2,30.0,3.5,"Black Virtus Bourbon Milk Stout
Cerveza de inspiración inglesa, que contiene lactosa, cerveza negra, de Navidad, con 5,2º y fuerte de sabor"
3725,Maquis Panxo,Amber Ale,6.8,,,"Maquis Panxo Marcel·lí Massana
Ale torrada"
3726,Maquis Rude Time,English Barleywine,12.0,,,"Maquis Rude Time
Edición limitada maduraca en barrica de roble"
3727,Maquis Comandante,Imperial Stout,10.5,,,Maquis Comandante Anti - Imperial Stout
3728,Populus Mild,Mild,4.7,35.0,,"Populus Mild
Cerveza oscura y cremosa de notas maltosas como cacao, café…"
3729,Populus Imperial IPA,Imperial IPA,8.8,140.0,3.54,"Populus Imperial IPA
IPA ligeramente maltosa y muy cargada de lúpulos Chinook, Simcoe, Cascade y Citra."
3730,Populus / Dougall’s Hoppy Brown,American Brown Ale,5.5,50.0,,"Populus / Dougall’s Hoppy Brown
Notas de cacao, café, regaliz,…con notas resinosas y ligeramente amargas del lúpulo Chinook"
3731,Populus Trigo,Weizen-Weissbier,4.7,25.0,3.03,"Populus Trigo
Cerveza de trigo con un poco de centeno, refrescante, cremosa y afrutada."
3732,Populus Session IPA,India Pale Ale,3.6,75.0,3.46,"Populus Session IPA
Refrescante pero de notable amargor. Notas afrutadas y cítricas."
3733,Populus IPA,English IPA,6.3,50.0,3.38,"Populus IPA
IPA equilibrada y facil de beber. Notas afrutadas y citricas."
3734,Populus 8,Belgian Strong Ale,8.0,25.0,3.41,"Populus 8 Brune
Notas de caramelo y fruta roja. Cuerpo cremoso y pleno.
 
 "
3735,Populus Brown,English Brown,5.0,25.0,3.36,"Populus Brown
10 maltas, notas de caramelo, pan tostado, cacao, suave café."
3736,Olañeta Sweet Milk Stout,Sweet Stout,6.0,27.0,,"Olañeta Sweet Milk Stout
Con mucho cuerpo y notas de café y cacao"
3737,Toutatis La Fruitée,Fruit Beer,4.7,14.0,3.22,"Toutatis La Fruitée
Cerveza de apariencia turbia debido al trigo crudo y notas rosáceas debidas a la frambuesa fermentada, muy refrescante por el punto de acidez del trigo y muy aromática gracias a la infusión de cilantro, las levaduras belgas y las frambuesas frescas.
 "
3738,Toutatis Belgian IPA,Belgian IPA,6.7,50.0,3.47,"Toutatis Belgian IPA
Cerveza de estilo Belgian IPA de color ámbar. Aroma dominado por notas florales en parte por la levadura y los 4 lúpulos utilizados.
El cuerpo es atenuado y ligero con un grado de alcohol de 6.7º. El sabor tiene un balance entre la amargor y un cierta sequedad"
3739,Rivvo de Ogga Iregua Creek,California Common Beer,4.5,,2.92,"Rivvo de Ogga Iregua Creek
Cameros Common
Ligera de cuerpo, de sabores sencillos y delicados. Lúpulos nobles alemanes apra amargor, sabor y aroma. Malta pils en el macerado.
 "
3740,Rivvo de Ogga Bloorc!,Belgian Blonde Ale,7.5,,3.25,"Rivvo de Ogga Bloorc!
Blond Belga
Fuerte, con esteres especiados y un extra de lúpulo de amargor. Refrescante pero intensa. Es una rubia muy peligrosa."
3741,Rivvo de Ogga Krakatoa,Porter,4.0,,2.8,"Rivvo de Ogga Krakatoa
Porter
Cerveza de cuerpo pleno y grandes sabores tostados, llena de sabor y aroma en un bajo contenido alcohólico. equilibrio de estilo británico.
 
 "
3742,Rivvo de Ogga Mehr Hopfen,Nothern German Altbier,6.0,,,"Rivvo de Ogga Mehr Hopfen
Alt Sticke
Cerveza corpulenta, amarga y afrutada. sticek, secreto en alemán, hace referencia a su carácter único y limitado. Una Alt llevada a su máxima expresión en todos sus aspectos.
 "
3743,Rivvo de Ogga Chipa,American IPA,6.0,42.0,2.91,"Rivvo de Ogga Chipa
IPA Americana
Interpretación americana del estilo ingés India Pale Ale. Más alcohol, más lúpulo y menos heterodoxia que el estilo clásico. Sólo apto para hopheads."
3744,Cata Craft Pumpk Not Died,Pumpkin Ale,8.0,25.0,,"Cata Craft Pumpk Not Died
Smoked Pepper Pumpkin
With Pumpkin, cinnamon ando pink pepper.
Con calabaza, canela y pimienta rosa."
3745,Rivvo de Ogga Monk & Bussines,Belgian Dubbel,6.0,,3.06,"Rivvo de Ogga Monk & Bussines
Dubbel
Cerveza que recoge lo mejor de la herencia belga. Cálida y de esteres especiados que le confiere aromas sugerentes y notas en boca para grandes maridajes."
3746,Sesma Alberchico,Sour Ale,5.0,,3.64,"Sesma Alberchico
Wild Ale Brewed With Apricots
Con albaricoques"
3747,La Gran Calabaza Del Barrio,Pale Ale,4.5,,,"La Gran Calabaza Del Barrio
Una cerveza tipo Pale Ale, mezcla refrescante de mallas combinada con el lúpulo Saaz, para muchoscomo el mejor lúpulo pilsner de la región de Bohemia combinado con nuestro empeño en mantener un equilibrio de sabores que alegran un buen momento.
 "
3748,La Masovera Codonyera,Fruit Beer,4.2,,,"La Masovera Codonyera
La nostra cervesa amb codonys de Llimiana i de Lleida.
Con membrillo de Llimiana y Lleida y lúpulos de Catalana de Llúpol"
3749,Tesela Reserva Roble,Wood-Aged Beer,5.0,23.0,,"Tesela Reserva Roble
Cerveza Roble con dos años de guarda en botella. Cerveza Ale, 100% malta de cebada, sin filtrar ni pasteurizar. La utilización de roble francés en su elaboración y el paso del tiempo le aporta un sabor único. Contiene sedimentos propios de su carbonatación natural en ..."
3750,Brew & Roll Fall Xplosion,Black IPA,6.1,56.0,,"Brew & Roll Fall Xplosion
Cerveza muy equilibrada dentro de su estilo, en la que los torrefactos están presentes en su justa medida sin que quiten protagonismo a esas dos grandes variedades de lúpulos como son el amarillo y citra. Con un amargor presente pero redondeado, lo que la hace muy b ..."
3751,Sesma Vin de Table,American Barleywine,9.0,,,"Sesma Vin de Table
Sabrosa Barley Wine envejecida en barrica de brandy Peinado"
3752,Sesma Citrus Maxima,Fruit Beer,4.5,,3.39,"Sesma Citrus Maxima
Ale Brewed With Citrus Fruits
Con 8 cítricos : Mano de Buda, Kumquat, Limquat, Cidra, Yuzu, Limón Pera, Limón Poncil y Bergamota."
3753,Sesma Spinning Back Fist,India Pale Ale,5.5,45.0,,"Sesma Spinning Back Fist
Red IPA
Una Red IPA cargadita de lupulo Amarillo, ligera y refrescante."
3754,Sesma Rye Charles,American Wheat or Rye Beer,5.8,,,"Sesma Rye Charles
American Rye Ale"
3755,Sesma HBB,American Wheat or Rye Beer,4.5,40.0,,"Sesma HBB - Hurones Beer Band
American Wheat Ale"
3756,Sesma Tourbillón IPA,India Pale Ale,6.1,60.0,3.51,"Sesma Tourbillón IPA
Color amarillo dorado con espuma blanca, cremosa y duradera. El fondo es ligeramente dulce, maltoso con notas de cereal y galleta, para acabar con pino y frutas tropicales propias del lúpulo que también aporta un amargor seco y potente."
3757,Tyris Pim Pam Pumpkin Ale,Pumpkin Ale,6.4,15.0,3.34,"Tyris Pim Pam Pumpkin Ale
Muy aromática y especiada como principal protagonista se encuentra la calabaza asada acompañada por las especias.
Cerveza elaborada con los ingredientes característicos del pastel “Pumpkin Pie” americano. En nuestro caso con calabazas valencianas que aportan  ..."
3758,Yria Hüll Melon Saison,Saison,6.5,20.0,3.42,"Yria Hüll Melon Saison
Dry Hooped Saison!!!
Saison con dry hopping del lúpulo Hüll Melon, variación del lúpulo cascade que presenta notas marcadamente frutales que recuerdan a melón verde y fresas."
3759,Chipys Clásica,Lager,4.8,,0.5,"Chipys Clásica
Cerveza de color dorado brillante, sabor suave y aroma muy fresco."
3760,Rivvo de Ogga Happy Donkey,Weizen-Weissbier,5.0,,,"Rivvo de Ogga Happy Donkey
Trigo Alemán
Respetando la tradición bávara de elaboración de cervezas de trigo, elaboramos nuestra Happy Donkey. Plena de esteres y sabor, recordando a plátano y fina bollería. Cerveza siempre refrescante."
3761,Rivvo de Ogga Blackita,Black IPA,6.3,,3.32,"Rivvo de Ogga Blackita
Black IPA
Cerveza negra, densa y amarga, con notas de chocolate y licor. Aromas a chocolate negro y lúpulo cítrico. Coruplenta y sedosa en boca sin sencación de cereales quemados. Un trago límpio pero intenso."
3762,Rivvo de Ogga Gunslinger,American Pale Ale,4.5,,2.98,"Rivvo de Ogga Gunslinger
American Pale Ale
Equilibrio entre malta y lúpulo dándole el protagonismo al aroma cítrico y frutal. Ideal para refrescar el paladar sediento sin saturarlo, invitando a repetir gracias a su bajo contenido alcohólico."
3763,Rivvo de Ogga Nereida,India Pale Ale,3.7,,2.88,"Rivvo de Ogga Nereida
Session IPA
Con la mitad de grado alcohólico de una IPA, pero toda su carga de lúpulos. Aromática, amarga, sabrosa pero ligera y refrescante. El estilo donde una pinta nunca es suficiente."
3764,Maiken Jungle Boogie,India Pale Ale,3.5,41.0,3.28,"Maiken Jungle Boogie
Maiken Brewery Session IPA"
3765,La Virgen Carajillo Stout,Imperial Stout,11.0,50.0,3.73,"La Virgen Carajillo Stout
Usted sí que sabe
La Carajillo Stout es una cerveza de alta fermentación estilo Imperial Stout. Extremadamente intensa con sabores a tostado, cacao oscuro, café y brandy. Un clásico de los bares, rescatado para los que un café solo se les queda corto."
3766,La Virgen Trigo Limpio,Weizen-Weissbier,4.9,30.0,3.33,"La Virgen Trigo Limpio
Hefeweizen
Vivan los campings y el destape.
Trigo Limpio es nuestra versión de la clásica Hefeweizen alemana. La mejor levadura bávara mezclada con la paciencia y la tranquilidad de un domingo en la playa. Extremadamente refrescante, con aromas a banana y clavo. Nat ..."
3767,La Virgen Märzen,Oktoberfest-Marzen,6.5,22.0,3.3,"La Virgen Märzen
Lager Estilo Märzen
Una cerveza limitada creada a partir de los mejores ingredientes: maltas Pilsen Munich, lúpulos Perle y Spalt select y con mucho, mucho amor.
Maltosa y muy sabrosa. Se elabora tradicionalmente en primavera y se guarda hasta final de verano. Antiguament ..."
3768,La Grúa CoffeeBomb,Sweet Stout,5.8,35.0,3.9,"La Grúa CoffeeBomb
Milk Stout
Elaborada con cafe de Papúa Nueva Guinea. Colaboración con Piero Rodríguez maestro cervecero de MIA Brewing Co. Miami. El. La fusión equilibrada de café, cacao y vainilla con maltas tostadas, maltas caramelo y maltas chocolate le aportan todo el carácter y l ..."
3769,La Grúa Sour City,Berliner Weisse,4.0,4.0,3.23,"La Grúa Sour City
Berliner Weisse"
3770,Blue Serpent Dark Ale Gran Reserva,Belgian Strong Ale,6.0,32.0,,"Blue Serpent Dark Ale Gran Reserva
La cerveza Blue Serpent Dark Ale Gran Reserva ha sido madurada en barricas de roble durante 6 meses, sus sutiles notas de brandy y roble dominan desde el principio, acabando en un final limpio y pequeños toques ahumados en boca. Lotes muy limitadas.
Se trat ..."
3771,Nómada Revontulet,Sour Ale,6.7,26.0,3.46,"Nómada Revontulet
Raspberry Sour Ale
Cerveza con frambuesas inspirada en los bosques de Finlandia. Juega entre el ácido y el amargo de forma sutil pidiendo otro trago. Déjate envolver por la magia de Revontulet, que significa “aurora boreal” en finés.
De color rosado y espuma color b ..."
3772,Bidassoa Basque Brewery By The Way #02,India Pale Ale,4.3,47.0,3.2,"Bidassoa Basque Brewery By The Way #02
Session IPA. Segunda cerveza de las Black Board Concepts.
Ligera, refrescante, floral, ligeramente afrutada. Para disfrutar tranquilamente en buena compañía."
3773,Bidassoa Basque Brewery Over The Line! #01,American IPA,5.8,55.0,3.53,"Bidassoa Basque Brewery Over The Line! #01
North South Ipa.
Primera birra de nuestra serie de Black Board Concepts (Single batch beer).
Nuestro homenaje a una de nuestras pelis favoritas. North-South IPA muy bebible con aromas de pino y cítricos, como las colinas de Malibú."
3774,Bidassoa Basque Brewery / Garage Beer Co Pirinea,English Pale Ale,5.0,,3.72,"Bidassoa Basque Brewery / Garage Beer Co Pirinea
Hpppy Pale Ale de color dorado ambarino, aromas cítricos, florales y afrutados."
3775,Biribil Sorgiña,Imperial Stout,9.8,,3.94,"Biribil Sorgiña
Elaborada con avena, cacao y avellana
Imperial Stout equilibrada y agradable de cuerpo generoso en el que encontramos la suavidad de la avena. Aromas maltosos con presencia del cacao y sabores equilibrados con notas de avena, cacao y un toque  aportado por las avellanas."
3776,Ophidian Taipan,Pilsner,5.0,,,"Taipan Pilsner
Taipan Pilsner ha sido elaborada especialmente para saciar la sed. Suave al paladar, con el punto de gas adecuado para que disfrutes desde el primer trago hasta el último. Sírvase bien fría!
Todas las cervezas de Ophidian brewing Company están elaboradas de forma artesanal  ..."
3777,Four Lions / Crafty Devil Raging Bull,Imperial IPA,7.3,,,"Four Lions / Crafty Devil Raging Bull
Imperial IPA potente en boca elaborada con magnum, chinook, columbus y un potente dry hopping de wet Summit, cosechado el mismo día de su uso en la cerveza."
3778,Four Lions / OPO 74 Gold Lion,American Wheat or Rye Beer,5.5,,,"Four Lions / OPO 74 Gold Lion
Fresh Hooped Wheat
OPO 74 brew with Four Lions
Harvest 16 Órbigo Valley Sessions #1
Cerveza de trigo con lúpulo frecso recién recolectado del Valle del Órbigo, León.
Notas frutales en nariz, cítricos, suave paso en boca con potente amargor, de cuerpo muy ..."
3779,Garage Beer Co Backup Dancer,India Pale Ale,4.8,32.0,,"Garage Beer Co Backup Dancer
Session IPA
Tocs de llimona, anet i coco equilibrats gràcies a una suau base de malta.
-----------------
Toques de limón, eneldo y coco equilibrados gracias a una suave base de malta."
3780,Garage Beer Co / Frontaal W.A.R,Berliner Weisse,5.1,,,"Garage Beer Co / Frontaal W.A.R
Mojito Berliner Weisse, feta amb menta fresca, llima i fruits vermells com gerds i nabius.
Fresca, equilibrada
----------------
Con menta fresca, lima y frutos rojos como frambuesas y arándanos. Fresca, equilibrada
 "
3781,Mad brewing / Guineu Mad Orange Fox,Saison,5.0,80.0,3.4,"Mad brewing / Guineu Mad Orange Fox
Saison
Orange Zest
Con lúpulos Galena, Mosaic, Willamette, Cascade y dry hopping de Cascade y Willamette"
3782,La Morena Negra,Stout,4.9,48.0,3.56,"La Morena Negra - Stout
La Morena Negra, es una Cerveza tipo Stout de alta fermantación. Su exclusivo proceso de elaboración preserva todas las cualidades de las materias primas que pasan íntegras a la Cerveza, con una carbonatación natural sin azúcares añadidos.
El cuidadoso balance de ..."
3783,El Barbas Pórtate Preto,Porter,7.7,,,"El Barbas Pórtate Preto
Hoppy export porter"
3784,El Barbas Bass Culture,Vienna Lager,6.0,,,"El Barbas Bass Culture
Groovy amber lager"
3785,El Barbas Rayo de Soslayo,Saison,6.75,75.0,3.62,"El Barbas Rayo de Soslayo
Hoppy framhouse Ale
Todo Aroma y sabor . Bienvenido al aroma.
Cerveza muy aromática, predominando los lúpulos muy cítricos y frutales. Con notas a levadura picante. De entrada muy refrescante y cítrica, recordando a la lima, melón, fruta de la pasión. Final f ..."
3786,El Barbas Øl Day Rude,American IPA,6.4,70.0,,"El Barbas Øl Day Rude
American IPA
Cerveza rubia con aromas tropicales, cítricos y florales. Ideal para cualquier momento del día, con un aperitivo potente.
Para todo el día.
Rubia atractiva que presenta un aroma interesantísimo a lúpulos tropicales, cítrica y floral. De entrada muy  ..."
3787,El Barbas Coffee Pale,"Spice, Herb o Vegetable Beer",5.5,30.0,,"El Barbas Coffee Pale
American Pale Ale con café de especialidad Etiopía Rocko Mtn reserva tostado por Puchero coffee roasters.
Cerveza y café, qué más?
Diferente, para los amantes del buen café. Cerveza rubia con café añadido... totalmente diferente a lo que hayas probado.
Si a una ..."
3788,Milamores IPA,American IPA,6.5,65.0,,"Milamores IPA
Milamores es una cerveza color dorado, mezcla de pale ale, munich, vienna y cristal y con mucha carga de lúpulo (sobre todo centennial y amarillo). Es una cerveza potente pero muy balanceada y muy fácil de beber. Tiene 6.5 grados, 65 IBUS, buena retención de espuma, buen cuerp ..."
3789,69 Angelus Hoppy Pils,Lager,4.8,29.0,3.45,"Angelus Hoppy Pils
Angelus Apatrida
Cerveza artesana para el grupo de Thrash Metal Angelus Apatrida. Elaborada en Albacete pode Cervezas 69 nos encontramos con una Hoppy Pils muy refrescante y aromatizada elaborada con lúpulos Cascade y Willamette. ¡Fresh Pleasure!"
3790,Ruben’s Original Helles,Munich Helles,4.8,23.0,2.96,"Ruben’s Original
Lager
Es una cerveza lager sin filtrar, receta originaria del norte de alemania. Color dorado intenso con una espuma blanca y persistente. Suaves aromas a malta y cereal. De cuerpo medio, ligera y de amargor moderado."
3791,Malaqa Bootlegger,Cream Ale,4.8,30.0,3.41,"Malaqa Bootlegger
Pre Prohibition Cream Ale"
3792,Naparbier Kamikaze,Imperial Stout,13.0,,,"Naparbier Kamikaze
Imperial Stout con sake"
3793,ONE WAY ®,Amber Ale,4.5,,,"ONE WAY ®, es una cerveza 100% artesana de estilo Amber, fresca, de color dorado, viva, pura, con un rango de aromas florales y frutados, su sabor es suave, muy equilibrada y ligeramente dulce que la distingue por su alta calidad y personalidad propia. Su paso por boca limpio, agradable y ráp ..."
3794,Rivvo de Ogga Intrepid Fox,English IPA,6.2,,2.7,"Rivvo de Ogga Intrepid Fox british IPA
Máxima expresión cervecera, cuerpo pleno, amargo contundente pero limpio y aromas tradicionales ingleses. Estilo donde todo quiere destacar, encontrando la virtud en el equilibrio. Siéntate y disfruta, pero sin prisa."
3795,Rivvo de Ogga Cantaloupe,Nothern German Altbier,6.0,,3.13,"Rivvo de Ogga Cantaloupe Alt Sticke
Cerveza ligera de cuerpo y contundente respecto al amargor y aroma. Grandes cantidades de lúpulos alemanes inundan esta cerveza de sabores y aromas de los más dulces melones estivales."
3796,Dawat One-Off Big John Sylver A Long IPA,India Pale Ale,5.5,100.0,3.31,"Dawat One-Off Big John Sylver A Long IPA
Otro proyecto único en nuestro portfolio de cervezas One-Off.
Si cualquiera de nuestras IPA’s cumplen escrupulosamente con la tradición de la receta, la Big John Sylver es fiel a su estilo pero con una formulación distinta:
1.000 k de maltas Pil ..."
3797,Yria Bloody Zombie,Imperial IPA,10.0,100.0,3.74,"Yria Bloody Zombie
Triple IPA
Adivina quine viene a cenar."
3798,La Pirata Round 1,India Pale Ale,6.5,100.0,3.87,"La Pirata Round 1
An IPA to Celebrate the First Anniversary at our own Brewery. A Fantasy of Hops with Double dry hopping
Cheers!"
3799,Dougall’s IPA 8,India Pale Ale,6.0,65.0,3.81,Dougall’s IPA 8
3800,La Calavera / Bodegas Cueva La Raïmada,Saison,8.5,27.0,,"La Calavera / Bodegas Cueva La Raïmada
Wood Series
Aromes de fusta i alcohol amb tocs de vainilla, escuma cremosa de color marró, amb un cos completament negre i amb una carbonatació molt lleu de bombolla fina i suau.  El seu cos és notable i espès, amb una textura molt cremosa.  En el ..."
